식품명,No.,SAMPLE_ID,성분,제조사,조사년도,식품분류,식품상세분류,식품코드,출처,1포장당,에너지(Kcal),에너지(kj),단백질(g),지질(g),탄수화물(g),총당류(g),나트륨(mg),콜레스테롤(mg),총 포화 지방산(g),총 포화 지방산(%),트랜스 지방산(g),면,스프
우리밀구쁘컵라면,107,P039031-ZZ-AVG,,㈜새롬식품(완주공장),2020,가공식품,유탕면,P039031,식약처('20),73,327.0,-,7,14,44,8.0,1484.0,0,6,-,0,"밀가루(국산) 40%, 팜유(말레이시아산), 변성전분, 글루텐(프랑스산), 감미유-R, 태움용융소금, 산도조절제, 구아검, 면류첨가알칼리제(탄산칼륨, 탄산나트륨, 피로인산나트륨), 비타민B2","얼큰라면스프(정제염, 백설탕, 육맛조미분H, 덱스트린, 간장베이스디200),건표고버섯(국산), 건파(국산), 건당근(국산), 건미역(국산)"
우리쌀로만든짬뽕라면,108,P039542-ZZ-AVG,,㈜새롬식품(완주공장),2020,가공식품,유탕면,P039542,식약처('20),106,470.0,-,14,17,66,6.0,1660.0,6,7,-,0,"감자전분(국산), 팜유(말레이시아산),쌀가루15.2%(유기농,국산 ),글루텐,변성전분,태움용융소금,식용유지가공품,산도조절제,구아 검,면류첨가알칼리제(탄산칼륨,탄산나트륨,피로인산나트륨),비타민B2","해물맛키베이스-2 98% (홍합맛분말-1(홍합:국산),정제 염,덱스트린,백설탕, 간장분말1),정제소금,백설탕,동결건조오징어29.13%(국산),건미역(미역:국산),건파(국산),건당근(당근(국산),포도당),건새우11,65%(국산)"
치즈라볶이사리면,109,P041216-ZZ-AVG,,㈜새롬식품(완주공장),2020,가공식품,유탕면,P041216,식약처('20),55,266.0,-,5,12,34,1.0,277.0,0,5,-,0,"감자전분(독일산),밀가루(국산), 팜유(말레이시아산) 변성전분, 밀글루텐, 식용유지가공품, 정제소금, 산도조절제, 구아검, 면류첨가 알칼리제(탄산칼륨, 탄산나트륨, 피로인산나트륨), 비타민B2","자연치즈 50% (체다치즈(외국산(뉴질랜드산, 호주산, 미국산 등): 원유, 정제소금, 유산균배양액, 우유응고효소), 고다치즈(네덜란드산): 원유, 정제소금, 유산균, 우유응고효소), 정제수, 야자경화유(인 도네시아산, 필리핀산),혼합탈지분유(네덜란드산) 산도조절제, 카제민나트륨, 유청분말, 농축유단백분말, 식이섬유소분말,셀룰로스, 치즈파우더, 구아검, 혼합제제(가공유지, 베타-아포-8'-카르티날(착색료), 비타민E"
우리쌀로만든밥라면,110,P041381-ZZ-AVG,,㈜새롬식품(완주공장),2020,가공식품,유탕면,P041381,식약처('20),98,430.0,-,9,15,65,1.0,1360.0,0,7,-,0,"감자전분(감자,국산),쌀가루25%(국산), 팜유, 글루텐(일), 변성전분, 식염, 감미유_R(대두),산도조절제, 구아검,혼합제제(탄산칼륨,탄산나타륨,피로인산나트륨) 비타민B2","육계장맛분말 (정제염, 간장조미분말_엠700(대두),육계장베이스[돈골엑기스(돼지고기)),볶음고추가루,고추맛씨즈닝분말,매운맛분말(포도당,정제염,덱스트린,고추가루(국산),정백당), 비프만분말[정제염, 비프씨즈닝분말_D.유당(락토스(우유)),정백당,흑후추분),정제염,정백당, 건더기스프-건표고버섯(국산), 건파(국산), 건당근(당근(국산)포도당), 건미역(국산)"
애터미감자로만든채식라면,111,P023590-ZZ-AVG,,㈜새롬식품(완주공장),2019,가공식품,유탕면,P023590,식약처('19),114,510.0,-,10,22,71,3.0,1520.0,0,9,-,0,"감자전분(국내산), 팜유(말레이시아산), 글루텐(프랑스산), 변성전분, 감자분말(국내산, 감자 95%), 쌀가루, 폴리덱스트로스, 태움· 용융소금, 식용유지가공품, 산도조절제, 구아검, 면류첨가알칼리제(탄산칼륨, 탄산나트륨, 피로인산나트륨), 비타민B2","채식분말스프-S[정제염, 채식분말스프키베이스, 매운맛키베이스, 백설탕,덱스트린, 고춧가루(국내산)],백설탕,건표고버섯(국내산), 건파(국내산), 건당근(당근(국내산), 포도당, 건미역(국내산)"
한살림감자라면,112,P023648-ZZ-AVG,,㈜새롬식품(완주공장),2019,가공식품,유탕면,P023648,식약처('19),110,485.0,-,16,17,67,4.0,1630.0,0,8,-,0,"감자전분43.9%(국산),밀가루20%(국산),팜유(말레이시아산),글루텐(프랑스산),감자분말5%[감자95%(국산/유기),쌀가루5%(국산/무농약)],태움용융소금(국산),구아검,잔탄검,비타민B2","매운감자라면분말스프{정제염(국산),간장베이스디200(액상가수분해식물성단백질,팜유),백설탕,말토덱스트린,스프베이스분말(간장농축액,덱스트린,정제염,팜유),조미브로스-엔엠[돈골농축액(돼지고기:국산),정제염,양파,양조간장],청양고춧가루4%(국산),5'-리보뉴클레오티드이나트륨,된장분말[우리콩된장(대두,밀:국산)],고춧가루(국산),버텍스IG,양파분말(국산),마늘분말(국산),호박산이나트륨,전지분유(원유:국산),밀식이섬유,흑후추분말,올레오레진파프리카,올레오레진캡시컴,표고버섯분말(국산),생강분말(국산)},건표고버섯(국산),건파(국산),건당근(당근:국산,포도당),건미역(국산)"
국내산감자로만든감자라면,113,P023660-ZZ-AVG,,㈜새롬식품(완주공장),2019,가공식품,유탕면,P023660,식약처('19),110,485.0,-,12,17,71,3.0,1600.0,0,8,-,0,"감자전분(감자:국내산)57.192%,정제팜유(말레이시아산), 활성밀글루텐(프랑 스산), 변성전분, 찹쌀분말(찹쌀:국내산)3.037%, 감자분말{감자(국내산)95%,미분}2.024%, 식 용유지가공품, 태움· 용융소금, 피로인산나트 륨, 구아검, 면류첨가알칼리제(탄산칼륨,탄산 나트륨,피로인산나트륨), 비타민B2","복합조미식품[덱스트린,정 제소금(국내산), 설탕, 간장분말{아미노산간장 3호(탈지대두:인도산),정제소금(국내산),물엿, 간장베이스-디200{액상가수분해식물성단백 질(탈지대두:인도산), 팜유(말레이시아산)}],정제소금(국내산), 백설탕,건표고버섯(국내산)50%, 건파(청파:국내산), 건당근당근(국내산), 포도당}, 건미역{염장미역(미역, 천일염)}"
애터미착한짜장,114,P023690-ZZ-AVG,,㈜새롬식품(완주공장),2019,가공식품,유탕면,P023690,식약처('19),180,535.0,-,18,19,73,8.0,1244.0,5,7,-,0,"쌀가루(국내산),감자전분(국내산), 팜유(말레이시아산), 변성전분, 글루텐, 태움용융소금, 식용유지가공품, 산도조절제, 구아검, 면류첨가 알칼리제(탄산칼륨, 탄산나트륨, 피로인산나트륨), 비타민B2","양파(국내산), 정제수, 우리쌀춘장[대두(국내산),쌀(국내산), 슈가시럽, 천일염,주정],감자(국내산),양배추,돼지고기,채종유(채종유,d-토코페롤), 천연당,혼합제제(변성전분,덱스트린), 당류가공품,복합감칠맛분,향미유AT, 마늘,콩단백, 국산콩간장,생강농축액, 재제소금,핵산아이지(향미증진제), 쿡메이트에프씨, 혼합제제(탄산칼륨,탄산나트륨,제이인산나트륨,피로인산나트륨,치자황색소)"
랍면,115,P023697-ZZ-AVG,,㈜새롬식품(완주공장),2019,가공식품,유탕면,P023697,식약처('19),115,510.0,-,14,19,71,4.0,1820.0,7,9,-,0,"감자전분(국내산), 팜유(말레이시아산), 글루텐(프랑스산), 변성전분, 감자분말, 쌀분말(국내산), 감미유-R, 태움용융소금,산도조절제,구아검,면류첨가알칼리제(탄산칼륨, 탄산나트륨,피로인산나트륨),비타민B2","랍스타분말스프(육수맛베이스,백설탕,덱스트린정제소금,L-글루타민산나트륨(향미증진제),가염게농축분말,비프스틱베이스P,야채짬뽕분말,새우분말,에이취브이피-비-시즈닝분말,브로스-2,마늘분말,양파분말, 꽃게풍미유,랍스타추출분말0.2%},건표고버섯(국내산), 건파(국내산), 건당근(당근(국내산), 포도당), 건미역(미역:국내산)"
우리밀감자라면,116,P023707-ZZ-AVG,,㈜새롬식품(완주공장),2019,가공식품,유탕면,P023707,식약처('19),100,515.0,-,13,20,71,2.0,1820.0,0,8,-,0,"감자전분33,5% (독일산), 밀가루18%(국산), 팜유(말레이시아산), 변성전분, 글루텐, 감자분말2%(감자95%,국산), 정제염, 감미유-R, 산도조절제, 구아검, 혼합제제(탄산칼륨,탄산나트륨,피로인산나트륨), 비타민B2","채식분말베이스(정제염,덱스트린,정백당, 고춧가루, 스프베이스분말, 정제염, 정백당, 건표고버섯(국산), 건파(국산), 건당근당근(국산), 포도당), 건미역(국산)"
